0.71936,0.36048,-0.48745,1.3474,-0.61863,3.8676,6.3035,14.502,16.893,-10.622,0.74987,-0.10804,-0.53462,0.40551,0.76641,3.1234,6.6587,-13.663,-24.969,-28.312
0.73674,0.3619,-0.47241,1.3438,-0.63221,3.8627,6.2992,14.505,16.895,-10.619,0.75913,-0.079417,-0.54813,0.42006,0.75541,3.1296,6.6626,-13.661,-24.967,-28.313
0.75413,0.36121,-0.45701,1.3401,-0.64559,3.8579,6.2948,14.507,16.898,-10.616,0.76838,-0.050334,-0.56122,0.43457,0.74418,3.1358,6.6664,-13.658,-24.966,-28.315
0.77151,0.35832,-0.44125,1.3363,-0.65878,3.853,6.2904,14.51,16.9,-10.613,0.77764,-0.020945,-0.57386,0.44903,0.73272,3.1421,6.6702,-13.655,-24.964,-28.316
0.78889,0.35314,-0.42514,1.3323,-0.67176,3.8481,6.2861,14.513,16.903,-10.61,0.78689,0.0085769,-0.58606,0.46344,0.72103,3.1483,6.674,-13.652,-24.962,-28.318
0.80628,0.34558,-0.40871,1.3281,-0.68453,3.8433,6.2817,14.515,16.906,-10.606,0.79615,0.038039,-0.5978,0.47781,0.70912,3.1545,6.6778,-13.65,-24.96,-28.319
0.82366,0.33558,-0.39195,1.3239,-0.69709,3.8384,6.2773,14.518,16.908,-10.603,0.8054,0.067232,-0.60907,0.49212,0.69699,3.1607,6.6817,-13.647,-24.959,-28.321
0.84105,0.32311,-0.37489,1.3195,-0.70944,3.8335,6.273,14.521,16.911,-10.6,0.81466,0.095927,-0.61988,0.50639,0.68464,3.1668,6.6855,-13.644,-24.957,-28.322
0.85843,0.30814,-0.35754,1.3149,-0.72156,3.8286,6.2686,14.523,16.913,-10.597,0.82391,0.12388,-0.63019,0.5206,0.67208,3.173,6.6893,-13.642,-24.955,-28.324
0.87581,0.29067,-0.33991,1.3102,-0.73346,3.8236,6.2642,14.526,16.916,-10.594,0.83317,0.15083,-0.64002,0.53476,0.65932,3.1792,6.6931,-13.639,-24.953,-28.325
0.8932,0.27076,-0.32201,1.3054,-0.74514,3.8187,6.2598,14.529,16.918,-10.591,0.84242,0.1765,-0.64935,0.54886,0.64635,3.1854,6.6969,-13.636,-24.951,-28.327
0.91058,0.24848,-0.30387,1.3005,-0.75659,3.8138,6.2555,14.531,16.921,-10.588,0.85168,0.20063,-0.65818,0.5629,0.63318,3.1915,6.7007,-13.634,-24.95,-28.328
0.92796,0.22394,-0.28548,1.2954,-0.7678,3.8088,6.2511,14.534,16.924,-10.584,0.86093,0.22293,-0.66649,0.57689,0.61982,3.1977,6.7045,-13.631,-24.948,-28.33
0.94535,0.1973,-0.26688,1.2902,-0.77877,3.8039,6.2467,14.537,16.926,-10.581,0.87019,0.24314,-0.67429,0.59082,0.60626,3.2038,6.7083,-13.628,-24.946,-28.331
0.96273,0.16875,-0.24807,1.2848,-0.78951,3.7989,6.2423,14.539,16.929,-10.578,0.87944,0.261,-0.68156,0.60468,0.59252,3.2099,6.7121,-13.626,-24.944,-28.333
0.98012,0.13855,-0.22907,1.2793,-0.8,3.7939,6.2379,14.542,16.931,-10.575,0.88869,0.27629,-0.68831,0.61849,0.57859,3.216,6.7158,-13.623,-24.942,-28.334
0.9975,0.10696,-0.20989,1.2737,-0.81025,3.7889,6.2335,14.545,16.934,-10.572,0.89795,0.28881,-0.69452,0.63223,0.56449,3.2222,6.7196,-13.62,-24.941,-28.336
1.0149,0.074283,-0.19055,1.268,-0.82024,3.7839,6.2291,14.547,16.937,-10.569,0.9072,0.29841,-0.70019,0.6459,0.55021,3.2283,6.7234,-13.618,-24.939,-28.337
1.0323,0.040851,-0.17106,1.2621,-0.82999,3.7789,6.2247,14.55,16.939,-10.566,0.91646,0.30497,-0.70533,0.65951,0.53577,3.2344,6.7272,-13.615,-24.937,-28.339
1.0496,0.0070048,-0.15144,1.2561,-0.83948,3.7739,6.2203,14.553,16.942,-10.562,0.92571,0.30843,-0.70991,0.67305,0.52116,3.2405,6.731,-13.612,-24.935,-28.34
